crossover: 0.800 mutation: 0.035 population: 40
Generation,Max,Total,Average
1,4,28,0.700
2,4,55,1.375
3,4,68,1.700
4,5,108,2.700
5,6,131,3.275
6,8,144,3.600
7,8,160,4.000
8,8,191,4.775
9,8,214,5.350
10,8,225,5.625
11,9,217,5.425
12,10,218,5.450
13,10,228,5.700
14,10,246,6.150
15,10,263,6.575
16,10,264,6.600
17,10,266,6.650
18,10,269,6.725
19,10,283,7.075
20,10,288,7.200
21,10,284,7.100
22,10,267,6.675
23,11,296,7.400
24,12,313,7.825
25,12,319,7.975
26,12,330,8.250
27,12,322,8.050
28,12,313,7.825
29,12,308,7.700
30,12,311,7.775
31,12,322,8.050
32,12,323,8.075
33,12,341,8.525
34,12,358,8.950
35,12,368,9.200
36,12,360,9.000
37,12,355,8.875
38,12,373,9.325
39,12,373,9.325
40,13,376,9.400
41,13,383,9.575
42,13,376,9.400
43,13,372,9.300
44,13,383,9.575
45,13,391,9.775
46,13,387,9.675
47,13,378,9.450
48,13,386,9.650
49,14,413,10.325
50,14,414,10.350
51,14,394,9.850
52,14,411,10.275
53,14,438,10.950
54,14,403,10.075
55,14,435,10.875
56,14,418,10.450
57,14,412,10.300
58,14,425,10.625
59,14,437,10.925
60,15,431,10.775
61,15,430,10.750
62,15,428,10.700
63,15,414,10.350
64,15,421,10.525
65,15,422,10.550
66,16,460,11.500
67,16,461,11.525
68,17,463,11.575
69,17,500,12.500
70,17,474,11.850
71,17,467,11.675
72,17,472,11.800
73,17,484,12.100
74,17,486,12.150
75,17,489,12.225
76,17,509,12.725
77,18,503,12.575
78,18,494,12.350
79,18,484,12.100
80,18,454,11.350
81,18,460,11.500
82,18,475,11.875
83,18,485,12.125
84,18,485,12.125
85,18,483,12.075
86,18,488,12.200
87,18,494,12.350
88,18,515,12.875
89,18,507,12.675
90,18,486,12.150
91,18,493,12.325
92,18,478,11.950
93,18,481,12.025
94,18,474,11.850
95,18,496,12.400
96,18,507,12.675
97,18,497,12.425
98,18,508,12.700
99,18,495,12.375
100,18,508,12.700
101,18,508,12.700
102,18,499,12.475
103,18,505,12.625
104,18,478,11.950
105,18,461,11.525
106,18,491,12.275
107,18,488,12.200
108,18,485,12.125
109,18,463,11.575
110,18,457,11.425
111,18,469,11.725
112,18,455,11.375
113,18,462,11.550
114,18,504,12.600
115,18,494,12.350
116,18,507,12.675
117,18,508,12.700
118,18,480,12.000
119,18,462,11.550
120,18,476,11.900
121,18,497,12.425
122,18,496,12.400
123,18,520,13.000
124,18,533,13.325
125,18,537,13.425
126,18,533,13.325
127,18,522,13.050
128,18,507,12.675
129,18,498,12.450
130,18,499,12.475
131,18,479,11.975
132,18,486,12.150
133,18,473,11.825
134,18,476,11.900
135,18,471,11.775
136,18,478,11.950
137,18,487,12.175
138,18,496,12.400
139,18,490,12.250
140,19,505,12.625
141,19,498,12.450
142,19,498,12.450
143,19,478,11.950
144,19,511,12.775
145,19,508,12.700
146,19,488,12.200
147,19,479,11.975
148,19,476,11.900
149,19,490,12.250
150,19,483,12.075
151,19,497,12.425
152,19,506,12.650
153,19,506,12.650
154,19,499,12.475
155,19,487,12.175
156,19,483,12.075
157,19,489,12.225
158,19,503,12.575
159,19,499,12.475
160,19,517,12.925
161,19,507,12.675
162,19,505,12.625
163,19,504,12.600
164,19,516,12.900
165,19,495,12.375
166,19,474,11.850
167,19,502,12.550
168,19,480,12.000
169,19,486,12.150
170,19,500,12.500
171,19,484,12.100
172,19,467,11.675
173,19,492,12.300
174,19,497,12.425
175,19,509,12.725
176,19,508,12.700
177,19,479,11.975
178,19,490,12.250
179,19,513,12.825
180,19,521,13.025
181,19,515,12.875
182,19,519,12.975
183,19,488,12.200
184,19,480,12.000
185,19,513,12.825
186,19,500,12.500
187,19,509,12.725
188,19,498,12.450
189,19,495,12.375
190,19,497,12.425
191,19,509,12.725
192,19,497,12.425
193,19,514,12.850
194,19,492,12.300
195,19,504,12.600
196,19,501,12.525
197,19,518,12.950
198,19,496,12.400
199,19,532,13.300
200,19,520,13.000
201,19,509,12.725
202,19,519,12.975
203,19,491,12.275
204,19,504,12.600
205,19,487,12.175
206,19,488,12.200
207,19,478,11.950
208,19,474,11.850
209,19,495,12.375
210,19,503,12.575
211,19,471,11.775
212,19,470,11.750
213,19,468,11.700
214,19,484,12.100
215,19,484,12.100
216,19,488,12.200
217,19,488,12.200
218,19,500,12.500
219,19,479,11.975
220,19,458,11.450
221,19,488,12.200
222,19,451,11.275
223,19,459,11.475
224,19,472,11.800
225,19,461,11.525
226,19,478,11.950
227,19,473,11.825
228,19,475,11.875
229,19,500,12.500
230,19,480,12.000
231,19,486,12.150
232,19,488,12.200
233,19,481,12.025
234,19,500,12.500
235,19,493,12.325
236,19,474,11.850
237,19,472,11.800
238,19,485,12.125
239,19,495,12.375
240,19,489,12.225
241,19,483,12.075
242,19,495,12.375
243,19,497,12.425
244,19,510,12.750
245,19,509,12.725
246,19,498,12.450
247,19,501,12.525
248,19,497,12.425
249,19,495,12.375
250,19,503,12.575
