crossover: 0.800 mutation: 0.020 population: 40
Generation,Max,Total,Average
1,4,28,0.700
2,6,55,1.375
3,6,78,1.950
4,7,128,3.200
5,7,162,4.050
6,7,176,4.400
7,7,205,5.125
8,7,219,5.475
9,8,233,5.825
10,8,241,6.025
11,8,253,6.325
12,8,251,6.275
13,8,261,6.525
14,9,268,6.700
15,9,277,6.925
16,9,281,7.025
17,9,272,6.800
18,9,279,6.975
19,10,283,7.075
20,10,288,7.200
21,10,294,7.350
22,10,285,7.125
23,10,309,7.725
24,11,322,8.050
25,11,334,8.350
26,11,334,8.350
27,11,336,8.400
28,11,338,8.450
29,11,348,8.700
30,12,351,8.775
31,12,362,9.050
32,12,370,9.250
33,12,381,9.525
34,12,375,9.375
35,12,363,9.075
36,12,371,9.275
37,12,382,9.550
38,12,389,9.725
39,12,413,10.325
40,13,425,10.625
41,13,428,10.700
42,13,401,10.025
43,13,386,9.650
44,13,393,9.825
45,13,425,10.625
46,13,428,10.700
47,13,439,10.975
48,14,454,11.350
49,14,441,11.025
50,14,431,10.775
51,15,437,10.925
52,15,448,11.200
53,15,465,11.625
54,15,464,11.600
55,15,460,11.500
56,15,473,11.825
57,15,474,11.850
58,15,464,11.600
59,15,469,11.725
60,15,473,11.825
61,15,484,12.100
62,15,481,12.025
63,15,472,11.800
64,15,470,11.750
65,15,462,11.550
66,15,472,11.800
67,15,490,12.250
68,15,505,12.625
69,15,495,12.375
70,16,499,12.475
71,16,502,12.550
72,16,507,12.675
73,16,523,13.075
74,16,526,13.150
75,17,523,13.075
76,17,515,12.875
77,17,527,13.175
78,17,515,12.875
79,17,522,13.050
80,17,524,13.100
81,17,491,12.275
82,17,511,12.775
83,17,499,12.475
84,17,514,12.850
85,17,512,12.800
86,17,537,13.425
87,17,534,13.350
88,17,531,13.275
89,17,531,13.275
90,17,529,13.225
91,17,517,12.925
92,17,482,12.050
93,17,499,12.475
94,17,500,12.500
95,17,527,13.175
96,17,536,13.400
97,17,522,13.050
98,17,532,13.300
99,17,523,13.075
100,17,528,13.200
