crossover: 0.800 mutation: 0.033 population: 20
Generation,Max,Total,Average
1,1,4,0.200
2,2,12,0.600
3,2,16,0.800
4,2,19,0.950
5,4,28,1.400
6,4,39,1.950
7,4,44,2.200
8,4,54,2.700
9,4,55,2.750
10,4,54,2.700
11,5,55,2.750
12,5,58,2.900
13,5,58,2.900
14,5,61,3.050
15,5,62,3.100
16,5,70,3.500
17,6,68,3.400
18,6,75,3.750
19,6,84,4.200
20,6,81,4.050
21,6,78,3.900
22,6,86,4.300
23,6,87,4.350
24,6,93,4.650
25,6,90,4.500
26,7,96,4.800
27,7,98,4.900
28,7,106,5.300
29,7,108,5.400
30,7,99,4.950
31,7,107,5.350
32,7,97,4.850
33,7,105,5.250
34,8,113,5.650
35,8,108,5.400
36,8,110,5.500
37,8,122,6.100
38,8,127,6.350
39,8,125,6.250
40,8,129,6.450
41,8,122,6.100
42,8,125,6.250
43,8,129,6.450
44,8,125,6.250
45,8,124,6.200
46,8,127,6.350
47,8,131,6.550
48,8,134,6.700
49,8,126,6.300
50,8,122,6.100
