crossover: 0.800 mutation: 0.033 population: 20
Generation,Max,Total,Average
1,1,4,0.200
2,2,11,0.550
3,3,21,1.050
4,3,32,1.600
5,3,40,2.000
6,3,40,2.000
7,3,49,2.450
8,4,50,2.500
9,4,55,2.750
10,5,69,3.450
11,5,68,3.400
12,5,71,3.550
13,5,70,3.500
14,5,76,3.800
15,5,77,3.850
16,6,85,4.250
17,6,90,4.500
18,6,88,4.400
19,6,86,4.300
20,6,89,4.450
21,6,88,4.400
22,6,88,4.400
23,6,87,4.350
24,6,95,4.750
25,6,86,4.300
26,6,93,4.650
27,7,97,4.850
28,7,96,4.800
29,7,100,5.000
30,7,106,5.300
31,7,111,5.550
32,8,117,5.850
33,8,107,5.350
34,8,103,5.150
35,8,114,5.700
36,8,116,5.800
37,8,127,6.350
38,8,124,6.200
39,8,127,6.350
40,8,109,5.450
41,8,125,6.250
42,8,117,5.850
43,8,111,5.550
44,8,121,6.050
45,8,120,6.000
46,8,115,5.750
47,8,120,6.000
48,8,127,6.350
49,8,123,6.150
50,8,115,5.750
