crossover: 0.800 mutation: 0.020 population: 40
Generation,Max,Total,Average
1,4,28,0.700
2,6,55,1.375
3,6,78,1.950
4,7,128,3.200
5,7,162,4.050
6,7,176,4.400
7,7,205,5.125
8,7,219,5.475
9,8,233,5.825
10,8,241,6.025
11,8,253,6.325
12,8,251,6.275
13,8,261,6.525
14,9,268,6.700
15,9,277,6.925
16,9,281,7.025
17,9,272,6.800
18,9,279,6.975
19,10,283,7.075
20,10,288,7.200
21,10,294,7.350
22,10,285,7.125
23,10,309,7.725
24,11,322,8.050
25,11,334,8.350
26,11,334,8.350
27,11,336,8.400
28,11,338,8.450
29,11,348,8.700
30,12,351,8.775
31,12,362,9.050
32,12,370,9.250
33,12,381,9.525
34,12,375,9.375
35,12,363,9.075
36,12,371,9.275
37,12,382,9.550
38,12,389,9.725
39,12,413,10.325
40,13,425,10.625
41,13,428,10.700
42,13,401,10.025
43,13,386,9.650
44,13,393,9.825
45,13,425,10.625
46,13,428,10.700
47,13,439,10.975
48,14,454,11.350
49,14,441,11.025
50,14,431,10.775
51,15,437,10.925
52,15,448,11.200
53,15,465,11.625
54,15,464,11.600
55,15,460,11.500
56,15,473,11.825
57,15,474,11.850
58,15,464,11.600
59,15,469,11.725
60,15,473,11.825
61,15,484,12.100
62,15,481,12.025
63,15,472,11.800
64,15,470,11.750
65,15,462,11.550
66,15,472,11.800
67,15,490,12.250
68,15,505,12.625
69,15,495,12.375
70,16,499,12.475
71,16,502,12.550
72,16,507,12.675
73,16,523,13.075
74,16,526,13.150
75,17,523,13.075
76,17,515,12.875
77,17,527,13.175
78,17,515,12.875
79,17,522,13.050
80,17,524,13.100
81,17,491,12.275
82,17,511,12.775
83,17,499,12.475
84,17,514,12.850
85,17,512,12.800
86,17,537,13.425
87,17,534,13.350
88,17,531,13.275
89,17,531,13.275
90,17,529,13.225
91,17,517,12.925
92,17,482,12.050
93,17,499,12.475
94,17,500,12.500
95,17,527,13.175
96,17,536,13.400
97,17,522,13.050
98,17,532,13.300
99,17,523,13.075
100,17,528,13.200
101,17,523,13.075
102,17,514,12.850
103,17,508,12.700
104,17,491,12.275
105,17,521,13.025
106,17,523,13.075
107,17,505,12.625
108,17,503,12.575
109,17,502,12.550
110,17,518,12.950
111,17,523,13.075
112,17,540,13.500
113,17,527,13.175
114,17,527,13.175
115,17,542,13.550
116,17,534,13.350
117,17,533,13.325
118,17,531,13.275
119,17,535,13.375
120,17,529,13.225
121,17,528,13.200
122,17,509,12.725
123,17,526,13.150
124,17,532,13.300
125,17,532,13.300
126,17,532,13.300
127,17,535,13.375
128,17,537,13.425
129,17,513,12.825
130,17,510,12.750
131,17,509,12.725
132,17,527,13.175
133,17,536,13.400
134,18,561,14.025
135,18,578,14.450
136,18,591,14.775
137,18,607,15.175
138,18,606,15.150
139,18,595,14.875
140,18,576,14.400
141,18,559,13.975
142,18,551,13.775
143,18,547,13.675
144,18,548,13.700
145,18,546,13.650
146,18,537,13.425
147,18,519,12.975
148,18,544,13.600
149,18,543,13.575
150,18,530,13.250
151,18,536,13.400
152,18,541,13.525
153,18,540,13.500
154,18,533,13.325
155,18,550,13.750
156,18,549,13.725
157,18,559,13.975
158,18,545,13.625
159,18,547,13.675
160,18,543,13.575
161,18,554,13.850
162,18,547,13.675
163,18,567,14.175
164,18,557,13.925
165,18,554,13.850
166,18,553,13.825
167,18,555,13.875
168,18,551,13.775
169,18,539,13.475
170,18,558,13.950
171,18,566,14.150
172,18,562,14.050
173,18,549,13.725
174,18,543,13.575
175,18,552,13.800
176,18,556,13.900
177,18,539,13.475
178,18,533,13.325
179,18,532,13.300
180,18,555,13.875
181,18,544,13.600
182,18,565,14.125
183,18,551,13.775
184,18,532,13.300
185,18,530,13.250
186,18,535,13.375
187,18,548,13.700
188,18,549,13.725
189,18,555,13.875
190,18,543,13.575
191,18,539,13.475
192,18,538,13.450
193,18,534,13.350
194,18,545,13.625
195,18,551,13.775
196,18,541,13.525
197,18,550,13.750
198,18,559,13.975
199,18,533,13.325
200,18,539,13.475
201,18,532,13.300
202,18,561,14.025
203,18,555,13.875
204,18,561,14.025
205,18,538,13.450
206,18,530,13.250
207,18,561,14.025
208,18,564,14.100
209,18,548,13.700
210,18,545,13.625
211,18,531,13.275
212,18,554,13.850
213,18,548,13.700
214,18,554,13.850
215,18,568,14.200
216,18,544,13.600
217,18,540,13.500
218,18,543,13.575
219,18,550,13.750
220,18,537,13.425
221,18,528,13.200
222,18,538,13.450
223,18,542,13.550
224,18,537,13.425
225,18,526,13.150
226,18,554,13.850
227,18,549,13.725
228,18,561,14.025
229,18,571,14.275
230,18,586,14.650
231,18,585,14.625
232,18,572,14.300
233,18,574,14.350
234,19,586,14.650
235,19,581,14.525
236,20,569,14.225
237,20,570,14.250
238,20,581,14.525
239,20,585,14.625
240,20,603,15.075
241,20,608,15.200
242,20,600,15.000
243,20,598,14.950
244,20,586,14.650
245,20,582,14.550
246,20,594,14.850
247,20,603,15.075
248,20,592,14.800
249,20,602,15.050
250,20,617,15.425
